epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2918,0.0214,0.2760,0.4679,0.8363,0.5863,0.5921,74
2,0.2527,0.0105,0.2443,0.4558,1.0296,0.4962,0.5016,74
3,0.2496,0.0090,0.2421,0.4449,1.2807,0.4154,0.4127,73
4,0.2480,0.0085,0.2406,0.4372,1.4936,0.3438,0.3419,74
5,0.2472,0.0090,0.2391,0.4314,1.7803,0.2745,0.2899,73
6,0.2458,0.0080,0.2385,0.4306,1.7340,0.3069,0.3177,74
7,0.2447,0.0078,0.2376,0.4319,1.6758,0.3351,0.3279,73
8,0.2431,0.0070,0.2365,0.4311,1.7006,0.3031,0.3147,73
9,0.2432,0.0083,0.2352,0.4261,2.1065,0.2590,0.2693,74
10,0.2417,0.0080,0.2345,0.4231,1.6489,0.3793,0.3774,73
11,0.2400,0.0074,0.2331,0.4170,1.6241,0.3522,0.3629,74
12,0.2382,0.0067,0.2319,0.4127,1.5737,0.3658,0.3788,74
13,0.2365,0.0070,0.2299,0.4053,1.6511,0.3306,0.3317,73
14,0.2361,0.0074,0.2293,0.4036,1.6432,0.3625,0.3582,73
15,0.2315,0.0080,0.2243,0.3866,1.5789,0.3660,0.3664,74
16,0.2292,0.0083,0.2216,0.3769,1.8078,0.3380,0.3147,74
17,0.2271,0.0077,0.2199,0.3727,1.7455,0.3171,0.3336,74
18,0.2250,0.0082,0.2176,0.3665,1.6918,0.3574,0.3513,74
19,0.2222,0.0085,0.2145,0.3562,1.6964,0.3659,0.3605,74
20,0.2206,0.0087,0.2126,0.3505,1.8611,0.3150,0.3112,73
21,0.2187,0.0080,0.2112,0.3468,1.9197,0.2919,0.2895,74
22,0.2186,0.0082,0.2110,0.3466,1.8121,0.3211,0.3268,74
23,0.2174,0.0086,0.2095,0.3430,1.8107,0.3443,0.3382,73
24,0.2161,0.0088,0.2083,0.3397,1.6771,0.3985,0.3816,74
25,0.2136,0.0089,0.2056,0.3320,1.6921,0.3770,0.3881,73
26,0.2124,0.0092,0.2043,0.3293,1.6889,0.3741,0.3659,74
27,0.2112,0.0084,0.2035,0.3276,1.7264,0.3714,0.3734,74
28,0.2105,0.0085,0.2029,0.3263,1.6711,0.3887,0.3825,74
29,0.2083,0.0082,0.2009,0.3215,1.6690,0.4004,0.3902,74
30,0.2056,0.0092,0.1973,0.3129,1.7954,0.3844,0.3961,74
31,0.2023,0.0083,0.1949,0.3092,1.6688,0.4024,0.3972,74
