epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
81,0.1488,0.0041,0.1435,0.1988,2.4972,0.2452,0.2335,173
82,0.1497,0.0042,0.1442,0.1981,2.6201,0.2211,0.2195,176
83,0.1481,0.0042,0.1426,0.1958,2.4942,0.2711,0.2458,172
84,0.1489,0.0040,0.1434,0.1972,2.6437,0.2225,0.2163,175
85,0.1485,0.0042,0.1430,0.1977,2.5545,0.2136,0.2087,171
86,0.1514,0.0048,0.1435,0.1952,4.5251,0.0638,0.0640,175
87,0.1474,0.0042,0.1415,0.1949,2.9583,0.1977,0.1934,173
88,0.1484,0.0041,0.1430,0.1957,2.5269,0.2351,0.2316,179
89,0.1482,0.0040,0.1430,0.1972,2.4934,0.2357,0.2335,174
90,0.1470,0.0040,0.1419,0.1961,2.3243,0.3021,0.2959,175
91,0.1476,0.0038,0.1424,0.1964,2.4922,0.2434,0.2405,174
92,0.1470,0.0039,0.1419,0.1957,2.4141,0.2937,0.2743,176
93,0.1469,0.0037,0.1420,0.1950,2.2758,0.2608,0.2724,174
94,0.1465,0.0038,0.1416,0.1956,2.2692,0.2719,0.2519,175
95,0.1543,0.0056,0.1454,0.1996,4.9447,0.0614,0.0666,173
96,0.1490,0.0050,0.1392,0.1913,6.2962,0.0087,0.0139,177
97,0.1500,0.0050,0.1422,0.1952,4.2160,0.0710,0.0656,177
98,0.1475,0.0040,0.1419,0.1949,2.8481,0.2385,0.2301,176
99,0.1457,0.0038,0.1408,0.1931,2.2042,0.3517,0.3486,174
100,0.1461,0.0037,0.1412,0.1941,2.3427,0.2639,0.2566,175
101,0.1454,0.0036,0.1405,0.1929,2.3676,0.2792,0.2525,172
102,0.1462,0.0037,0.1412,0.1952,2.3685,0.2618,0.2513,176
103,0.1461,0.0037,0.1413,0.1950,2.1989,0.2712,0.2721,175
104,0.1462,0.0034,0.1415,0.1952,2.2874,0.2925,0.2615,176
105,0.1467,0.0036,0.1417,0.1958,2.4313,0.2434,0.2388,175
106,0.1477,0.0038,0.1422,0.1963,2.9142,0.1764,0.1639,177
107,0.1458,0.0035,0.1411,0.1948,2.3217,0.2635,0.2683,176
108,0.1458,0.0035,0.1411,0.1953,2.1932,0.2816,0.2670,174
109,0.1455,0.0035,0.1408,0.1944,2.3225,0.2638,0.2644,174
110,0.1442,0.0036,0.1392,0.1901,2.4626,0.2554,0.2295,176
111,0.1435,0.0038,0.1382,0.1879,2.6291,0.1994,0.1874,175
112,0.1411,0.0036,0.1360,0.1848,2.5759,0.2399,0.2287,177
113,0.1438,0.0040,0.1379,0.1839,3.1322,0.1773,0.1775,174
114,0.1399,0.0038,0.1349,0.1820,2.4366,0.2932,0.2838,177
115,0.1396,0.0035,0.1347,0.1812,2.4602,0.2404,0.2370,175
116,0.1394,0.0037,0.1342,0.1804,2.5635,0.2400,0.2184,175
117,0.1375,0.0036,0.1324,0.1766,2.6170,0.2184,0.2245,175
118,0.1359,0.0040,0.1303,0.1726,2.8352,0.2001,0.1900,175
119,0.1342,0.0038,0.1288,0.1698,2.7721,0.2084,0.1965,178
120,0.1344,0.0039,0.1290,0.1715,2.6693,0.2282,0.2380,174
121,0.1334,0.0036,0.1283,0.1696,2.5808,0.2366,0.2494,173
122,0.1347,0.0039,0.1285,0.1695,3.4433,0.1448,0.1472,176
123,0.1339,0.0046,0.1266,0.1673,4.0357,0.0459,0.0647,176
124,0.1326,0.0041,0.1269,0.1673,2.8632,0.2464,0.2337,173
125,0.1315,0.0037,0.1265,0.1665,2.4568,0.2580,0.2480,175
126,0.1323,0.0036,0.1273,0.1681,2.4951,0.2606,0.2489,175
127,0.1318,0.0037,0.1267,0.1666,2.4320,0.2426,0.2455,178
128,0.1328,0.0036,0.1277,0.1688,2.5672,0.2595,0.2443,175
129,0.1326,0.0035,0.1275,0.1686,2.5826,0.2244,0.2105,177
130,0.1327,0.0034,0.1277,0.1694,2.6435,0.2126,0.2106,173
131,0.1318,0.0036,0.1270,0.1683,2.3630,0.2975,0.2807,176
132,0.1327,0.0035,0.1277,0.1688,2.4982,0.2500,0.2393,175
133,0.1315,0.0035,0.1267,0.1671,2.3116,0.3238,0.3069,175
134,0.1309,0.0034,0.1261,0.1671,2.3953,0.2490,0.2589,174
135,0.1323,0.0035,0.1273,0.1683,2.5144,0.2407,0.2383,174
136,0.1333,0.0035,0.1280,0.1698,2.8770,0.1828,0.1795,174
137,0.1309,0.0035,0.1262,0.1668,2.2914,0.3027,0.2883,174
138,0.1312,0.0036,0.1264,0.1675,2.2739,0.3360,0.3241,173
139,0.1315,0.0034,0.1267,0.1682,2.4115,0.2710,0.2518,174
140,0.1322,0.0035,0.1272,0.1679,2.5205,0.2276,0.2192,177
141,0.1326,0.0036,0.1276,0.1692,2.4584,0.2507,0.2478,177
142,0.1314,0.0035,0.1266,0.1670,2.3830,0.2687,0.2654,180
143,0.1311,0.0035,0.1262,0.1665,2.4274,0.2542,0.2495,174
144,0.1310,0.0035,0.1261,0.1670,2.4026,0.2654,0.2547,173
145,0.1304,0.0033,0.1258,0.1659,2.2856,0.3015,0.2898,174
146,0.1311,0.0035,0.1264,0.1679,2.3359,0.2682,0.2755,174
147,0.1308,0.0035,0.1262,0.1679,2.2339,0.3204,0.3223,174
148,0.1305,0.0032,0.1259,0.1668,2.3457,0.2764,0.2707,173
149,0.1312,0.0034,0.1265,0.1677,2.2687,0.3240,0.3428,173
150,0.1311,0.0034,0.1264,0.1677,2.2307,0.3154,0.3212,174
151,0.1299,0.0033,0.1253,0.1656,2.2395,0.2879,0.2672,175
152,0.1323,0.0036,0.1269,0.1674,2.8685,0.1986,0.1907,173
153,0.1313,0.0037,0.1258,0.1662,2.9401,0.1905,0.1729,174
154,0.1295,0.0034,0.1250,0.1646,2.1351,0.3538,0.3431,173
155,0.1302,0.0033,0.1256,0.1660,2.3220,0.2739,0.2691,173
156,0.1311,0.0033,0.1263,0.1675,2.5353,0.2198,0.2137,176
157,0.1292,0.0035,0.1248,0.1653,1.9586,0.4168,0.3864,174
158,0.1307,0.0034,0.1259,0.1670,2.3791,0.2634,0.2455,174
159,0.1303,0.0034,0.1256,0.1659,2.2985,0.3030,0.2876,176
160,0.1304,0.0032,0.1259,0.1665,2.3206,0.2662,0.2712,173
161,0.1313,0.0034,0.1264,0.1669,2.5630,0.2626,0.2562,175
162,0.1301,0.0034,0.1254,0.1663,2.3331,0.2834,0.2784,173
163,0.1301,0.0033,0.1255,0.1665,2.2859,0.2681,0.2574,174
164,0.1303,0.0033,0.1257,0.1660,2.2530,0.2782,0.2650,173
165,0.1303,0.0034,0.1257,0.1663,2.2172,0.3390,0.3296,173
166,0.1293,0.0032,0.1248,0.1650,2.2216,0.3387,0.3253,174
167,0.1299,0.0033,0.1254,0.1662,2.2581,0.2709,0.2548,176
168,0.1301,0.0032,0.1255,0.1665,2.3710,0.2599,0.2559,172
169,0.1300,0.0033,0.1254,0.1664,2.2611,0.2865,0.2889,176
170,0.1298,0.0034,0.1252,0.1653,2.1674,0.3185,0.3031,173
171,0.1297,0.0034,0.1251,0.1659,2.2181,0.2889,0.2777,174
172,0.1281,0.0032,0.1238,0.1628,2.0644,0.3079,0.3002,175
173,0.1292,0.0032,0.1248,0.1652,2.2020,0.3240,0.3117,175
174,0.1296,0.0034,0.1249,0.1653,2.3358,0.2466,0.2303,174
175,0.1292,0.0032,0.1247,0.1646,2.2488,0.2938,0.2859,176
176,0.1318,0.0037,0.1253,0.1655,3.9479,0.0714,0.0760,175
177,0.1289,0.0033,0.1242,0.1641,2.3652,0.3299,0.3028,174
178,0.1296,0.0033,0.1251,0.1647,2.2314,0.3208,0.3090,175
179,0.1297,0.0034,0.1251,0.1662,2.2064,0.3041,0.2983,175
180,0.1299,0.0031,0.1255,0.1660,2.2865,0.2662,0.2712,175
181,0.1307,0.0034,0.1256,0.1664,2.7058,0.2074,0.2041,176
182,0.1307,0.0032,0.1260,0.1671,2.4344,0.2604,0.2486,176
183,0.1284,0.0031,0.1242,0.1646,1.9698,0.4081,0.3984,175
184,0.1291,0.0031,0.1247,0.1651,2.2069,0.2757,0.2750,175
185,0.1287,0.0032,0.1242,0.1641,2.2355,0.3249,0.2949,175
186,0.1298,0.0032,0.1254,0.1659,2.1742,0.2957,0.2891,178
187,0.1296,0.0031,0.1251,0.1661,2.3047,0.2752,0.2673,177
188,0.1294,0.0032,0.1249,0.1648,2.3126,0.2886,0.2690,175
189,0.1286,0.0031,0.1243,0.1649,2.1407,0.2908,0.2750,175
190,0.1302,0.0032,0.1257,0.1665,2.2249,0.2781,0.2589,174
191,0.1288,0.0031,0.1245,0.1648,2.1434,0.3183,0.2985,174
192,0.1292,0.0032,0.1247,0.1647,2.2280,0.3032,0.3054,176
193,0.1287,0.0031,0.1243,0.1643,2.2138,0.2862,0.2741,173
194,0.1283,0.0030,0.1241,0.1645,2.0646,0.3543,0.3520,174
195,0.1300,0.0032,0.1252,0.1660,2.6564,0.2091,0.2065,177
196,0.1290,0.0031,0.1245,0.1656,2.3037,0.2780,0.2602,174
197,0.1293,0.0031,0.1249,0.1659,2.2121,0.2822,0.2705,174
198,0.1295,0.0030,0.1250,0.1649,2.3311,0.2427,0.2439,172
199,0.1311,0.0033,0.1260,0.1671,2.7742,0.2017,0.1899,172
200,0.1287,0.0031,0.1243,0.1648,2.2037,0.3382,0.3047,177
201,0.1286,0.0032,0.1241,0.1644,2.2825,0.2672,0.2712,174
202,0.1293,0.0032,0.1249,0.1660,2.2461,0.2793,0.2721,174
203,0.1288,0.0031,0.1244,0.1654,2.1983,0.3271,0.3043,174
204,0.1282,0.0030,0.1240,0.1643,2.0679,0.3516,0.3281,175
205,0.1291,0.0031,0.1248,0.1663,2.2189,0.3007,0.3175,176
206,0.1285,0.0030,0.1242,0.1654,2.2648,0.2979,0.2847,174
207,0.1286,0.0030,0.1244,0.1657,2.0804,0.3295,0.3104,171
208,0.1286,0.0030,0.1243,0.1653,2.1087,0.3079,0.3004,175
209,0.1315,0.0034,0.1263,0.1671,2.8782,0.1915,0.1888,174
210,0.1295,0.0035,0.1239,0.1637,3.1767,0.1468,0.1505,175
211,0.1286,0.0034,0.1237,0.1628,2.5804,0.2315,0.2209,172
212,0.1267,0.0033,0.1221,0.1600,2.3374,0.3104,0.2993,175
213,0.1248,0.0032,0.1201,0.1563,2.4449,0.2661,0.2620,177
214,0.1248,0.0033,0.1201,0.1559,2.4828,0.2234,0.2230,177
215,0.1239,0.0032,0.1192,0.1550,2.4622,0.2834,0.2613,175
216,0.1270,0.0034,0.1216,0.1582,3.0468,0.1761,0.1685,175
217,0.1244,0.0034,0.1195,0.1543,2.5138,0.2275,0.2144,174
218,0.1232,0.0034,0.1187,0.1543,2.1570,0.4143,0.3983,174
219,0.1240,0.0034,0.1192,0.1550,2.3807,0.2459,0.2216,174
220,0.1227,0.0034,0.1180,0.1537,2.3141,0.2606,0.2578,174
221,0.1233,0.0034,0.1184,0.1536,2.5012,0.2395,0.2186,175
222,0.1235,0.0033,0.1188,0.1544,2.3209,0.2693,0.2538,176
223,0.1228,0.0034,0.1180,0.1536,2.4307,0.2689,0.2598,176
224,0.1246,0.0033,0.1197,0.1557,2.5786,0.2342,0.2252,176
225,0.1228,0.0033,0.1181,0.1530,2.4090,0.2697,0.2529,176
226,0.1229,0.0032,0.1183,0.1535,2.4094,0.2674,0.2686,175
227,0.1229,0.0032,0.1184,0.1541,2.2565,0.3090,0.2910,176
228,0.1214,0.0032,0.1169,0.1518,2.2387,0.3162,0.3095,175
229,0.1228,0.0033,0.1182,0.1532,2.3594,0.2504,0.2294,174
230,0.1228,0.0033,0.1180,0.1527,2.4695,0.2681,0.2599,175
231,0.1220,0.0033,0.1174,0.1522,2.2984,0.2781,0.2503,176
232,0.1226,0.0032,0.1180,0.1527,2.3823,0.2495,0.2460,174
233,0.1227,0.0032,0.1180,0.1533,2.4380,0.2420,0.2258,174
234,0.1241,0.0034,0.1189,0.1541,2.7737,0.2161,0.2175,174
235,0.1228,0.0033,0.1181,0.1543,2.3872,0.2761,0.2714,172
236,0.1226,0.0033,0.1179,0.1535,2.4199,0.2391,0.2227,171
237,0.1212,0.0031,0.1167,0.1519,2.2180,0.3150,0.3135,177
238,0.1210,0.0030,0.1168,0.1526,2.1432,0.3136,0.3318,175
239,0.1218,0.0030,0.1174,0.1532,2.2997,0.2796,0.2706,173
240,0.1234,0.0033,0.1184,0.1532,2.6763,0.2060,0.1934,176
241,0.1217,0.0033,0.1170,0.1526,2.4541,0.2407,0.2273,176
242,0.1216,0.0032,0.1172,0.1532,2.1906,0.3362,0.3310,173
243,0.1215,0.0032,0.1170,0.1526,2.3127,0.2427,0.2413,173
244,0.1215,0.0032,0.1170,0.1523,2.2465,0.3365,0.3044,176
245,0.1211,0.0032,0.1166,0.1520,2.2651,0.2885,0.2859,174
246,0.1255,0.0039,0.1186,0.1536,4.1378,0.0540,0.0593,173
247,0.1231,0.0045,0.1160,0.1503,3.8666,0.0929,0.0908,176
248,0.1232,0.0034,0.1183,0.1544,2.5736,0.2928,0.2495,173
249,0.1238,0.0035,0.1183,0.1535,3.1078,0.2045,0.1974,172
250,0.1216,0.0031,0.1171,0.1531,2.3650,0.2856,0.2644,178
