epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
81,0.1180,0.0087,0.1091,0.1382,2.8740,0.2173,0.1870,66
82,0.1190,0.0082,0.1101,0.1393,3.1647,0.1452,0.1389,66
83,0.1195,0.0085,0.1102,0.1403,3.2978,0.1054,0.1091,66
84,0.1198,0.0083,0.1107,0.1406,3.3185,0.1172,0.1165,66
85,0.1190,0.0085,0.1100,0.1399,2.9458,0.2328,0.2125,66
86,0.1185,0.0081,0.1094,0.1392,3.3619,0.1321,0.1276,66
87,0.1187,0.0080,0.1098,0.1402,3.3290,0.1359,0.1321,66
88,0.1192,0.0082,0.1101,0.1410,3.3580,0.1384,0.1325,66
89,0.1186,0.0086,0.1096,0.1397,3.0486,0.2299,0.2041,66
90,0.1183,0.0083,0.1095,0.1389,2.9525,0.2374,0.2048,66
91,0.1192,0.0082,0.1102,0.1407,3.2090,0.1164,0.1230,66
92,0.1186,0.0080,0.1100,0.1406,3.0241,0.2001,0.1798,66
93,0.1195,0.0083,0.1104,0.1414,3.2358,0.1500,0.1481,66
94,0.1191,0.0082,0.1101,0.1404,3.2902,0.1440,0.1222,66
95,0.1179,0.0079,0.1094,0.1392,2.9270,0.2329,0.2107,66
96,0.1186,0.0079,0.1098,0.1404,3.2169,0.1559,0.1508,66
97,0.1185,0.0080,0.1098,0.1403,3.0222,0.2316,0.1971,66
98,0.1167,0.0079,0.1083,0.1379,2.8624,0.1817,0.1850,66
99,0.1181,0.0077,0.1095,0.1395,3.2356,0.1264,0.1232,66
100,0.1176,0.0077,0.1092,0.1392,2.9971,0.2026,0.1866,66
101,0.1178,0.0079,0.1092,0.1402,3.0718,0.2229,0.2085,66
102,0.1173,0.0080,0.1086,0.1391,3.0287,0.1644,0.1488,66
103,0.1174,0.0080,0.1088,0.1386,3.0322,0.2358,0.2106,66
104,0.1167,0.0078,0.1080,0.1380,3.1736,0.1378,0.1323,66
105,0.1182,0.0077,0.1094,0.1400,3.3900,0.1144,0.0973,66
106,0.1167,0.0079,0.1078,0.1375,3.3724,0.1694,0.1558,66
107,0.1157,0.0080,0.1069,0.1361,3.2804,0.1474,0.1333,66
108,0.1154,0.0080,0.1059,0.1338,3.8986,0.0871,0.0913,66
109,0.1158,0.0077,0.1064,0.1348,3.9354,0.0729,0.0765,66
110,0.1145,0.0077,0.1056,0.1336,3.4996,0.1120,0.1035,66
111,0.1150,0.0078,0.1057,0.1343,3.7293,0.0950,0.0986,66
112,0.1147,0.0080,0.1050,0.1324,4.1049,0.0565,0.0549,66
113,0.1130,0.0077,0.1038,0.1294,3.7833,0.1199,0.1097,66
114,0.1114,0.0082,0.1022,0.1272,3.4416,0.1602,0.1592,66
115,0.1114,0.0079,0.1021,0.1267,3.7920,0.1032,0.1017,66
116,0.1109,0.0081,0.1013,0.1250,3.9066,0.0873,0.0803,66
117,0.1112,0.0080,0.1019,0.1268,3.7505,0.1224,0.0895,66
118,0.1102,0.0086,0.1004,0.1240,3.7984,0.0935,0.0980,66
119,0.1089,0.0082,0.0996,0.1226,3.5006,0.1562,0.1332,66
120,0.1087,0.0081,0.0990,0.1219,3.9782,0.1040,0.1036,66
121,0.1084,0.0082,0.0979,0.1188,4.7338,0.0381,0.0398,66
122,0.1066,0.0083,0.0970,0.1179,3.8660,0.1196,0.1124,66
123,0.1063,0.0081,0.0965,0.1168,4.1193,0.0818,0.0604,66
124,0.1039,0.0080,0.0950,0.1147,3.2716,0.1905,0.1966,66
125,0.1049,0.0081,0.0957,0.1149,3.5413,0.1544,0.1403,66
126,0.1056,0.0083,0.0960,0.1157,3.7659,0.1071,0.1001,66
127,0.1061,0.0086,0.0958,0.1153,4.3407,0.0568,0.0552,66
128,0.1065,0.0084,0.0959,0.1163,4.7182,0.0265,0.0264,66
129,0.1054,0.0080,0.0960,0.1165,3.7105,0.1426,0.1392,66
130,0.1038,0.0078,0.0944,0.1133,3.9424,0.1021,0.0932,66
131,0.1048,0.0081,0.0950,0.1150,4.0914,0.0888,0.0800,66
132,0.1053,0.0078,0.0952,0.1136,4.5614,0.0449,0.0397,66
133,0.1036,0.0081,0.0936,0.1117,4.3312,0.0674,0.0724,66
134,0.1030,0.0080,0.0928,0.1106,4.6454,0.0457,0.0461,66
135,0.1024,0.0080,0.0925,0.1096,4.2657,0.0782,0.0781,66
136,0.1020,0.0082,0.0918,0.1086,4.4638,0.0651,0.0573,66
137,0.1023,0.0081,0.0919,0.1081,4.7106,0.0477,0.0486,66
138,0.1019,0.0080,0.0917,0.1090,4.6189,0.0724,0.0632,66
139,0.1019,0.0082,0.0912,0.1087,4.9150,0.0294,0.0325,66
140,0.1009,0.0082,0.0911,0.1076,4.1510,0.1259,0.1017,66
141,0.1008,0.0093,0.0892,0.1049,5.1220,0.0188,0.0209,66
142,0.1006,0.0112,0.0869,0.1004,5.9310,0.0068,0.0097,66
143,0.0968,0.0120,0.0821,0.0929,6.2218,0.0035,0.0082,66
144,0.0959,0.0135,0.0795,0.0885,6.8783,0.0017,0.0037,66
145,0.0960,0.0143,0.0786,0.0866,7.3699,0.0028,0.0023,66
146,0.0967,0.0144,0.0791,0.0870,7.4920,0.0016,0.0020,66
147,0.0979,0.0163,0.0782,0.0857,8.3154,0.0008,0.0007,66
148,0.0951,0.0148,0.0767,0.0830,8.0798,0.0006,0.0007,66
149,0.0971,0.0142,0.0797,0.0884,7.4084,0.0026,0.0028,66
150,0.0979,0.0130,0.0814,0.0916,7.4930,0.0026,0.0025,66
151,0.0970,0.0122,0.0814,0.0919,7.0479,0.0051,0.0044,66
152,0.0955,0.0125,0.0795,0.0885,7.1848,0.0031,0.0036,66
153,0.0953,0.0121,0.0785,0.0867,8.3857,0.0005,0.0005,66
154,0.0958,0.0118,0.0794,0.0881,8.1461,0.0019,0.0013,66
155,0.0950,0.0108,0.0802,0.0893,7.2798,0.0030,0.0029,66
156,0.0968,0.0104,0.0825,0.0938,7.0778,0.0045,0.0044,66
157,0.0932,0.0101,0.0810,0.0909,5.1053,0.1042,0.0933,66
158,0.0917,0.0100,0.0797,0.0887,5.0694,0.0341,0.0326,66
159,0.0926,0.0100,0.0805,0.0912,5.1045,0.0519,0.0442,66
160,0.0931,0.0098,0.0809,0.0912,5.2828,0.0546,0.0562,66
161,0.0937,0.0097,0.0811,0.0918,5.7990,0.0142,0.0154,66
162,0.0939,0.0099,0.0816,0.0926,5.4288,0.0408,0.0345,66
163,0.0911,0.0098,0.0796,0.0892,4.6374,0.0775,0.0704,66
164,0.0900,0.0098,0.0787,0.0878,4.5070,0.0991,0.0966,66
165,0.0900,0.0098,0.0781,0.0863,4.9981,0.0299,0.0332,66
166,0.0903,0.0100,0.0779,0.0863,5.3390,0.0345,0.0346,66
167,0.0890,0.0102,0.0774,0.0850,4.4976,0.0825,0.0916,66
168,0.0879,0.0098,0.0758,0.0822,5.2169,0.0260,0.0235,66
169,0.0875,0.0100,0.0757,0.0817,4.7354,0.0765,0.0607,66
