epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
81,0.0638,0.0027,0.0604,0.0429,1.4943,0.4169,0.4115,89
82,0.0598,0.0027,0.0564,0.0368,1.5898,0.3719,0.3612,89
83,0.0574,0.0027,0.0540,0.0334,1.4891,0.4485,0.4535,89
84,0.0574,0.0026,0.0541,0.0339,1.5185,0.3967,0.3875,89
85,0.0570,0.0025,0.0537,0.0337,1.5409,0.3874,0.3805,89
86,0.0561,0.0026,0.0528,0.0326,1.4605,0.4289,0.4197,90
87,0.0563,0.0025,0.0530,0.0325,1.5730,0.4067,0.4020,89
88,0.0559,0.0024,0.0528,0.0326,1.4526,0.4139,0.4059,90
89,0.0560,0.0023,0.0530,0.0328,1.4403,0.4168,0.4146,89
90,0.0561,0.0026,0.0529,0.0326,1.4156,0.4832,0.4695,90
91,0.0556,0.0025,0.0524,0.0319,1.4122,0.4209,0.4259,90
92,0.0557,0.0025,0.0526,0.0324,1.4172,0.4240,0.4100,89
93,0.0530,0.0023,0.0499,0.0289,1.4579,0.4124,0.3973,90
94,0.0492,0.0024,0.0460,0.0254,1.5162,0.3832,0.3825,89
95,0.0488,0.0023,0.0457,0.0246,1.4715,0.4052,0.3982,89
96,0.0486,0.0023,0.0455,0.0245,1.4600,0.4231,0.4245,89
97,0.0482,0.0023,0.0452,0.0237,1.3569,0.5154,0.5266,89
98,0.0480,0.0024,0.0450,0.0244,1.3908,0.4509,0.4401,89
99,0.0478,0.0024,0.0447,0.0232,1.4082,0.4234,0.4147,89
100,0.0474,0.0023,0.0444,0.0238,1.4650,0.4260,0.4215,89
101,0.0477,0.0022,0.0448,0.0237,1.3751,0.4547,0.4365,89
102,0.0477,0.0023,0.0448,0.0240,1.3653,0.4435,0.4289,89
103,0.0476,0.0022,0.0447,0.0241,1.4065,0.4278,0.4222,90
104,0.0472,0.0022,0.0443,0.0233,1.3824,0.4514,0.4383,90
105,0.0465,0.0021,0.0437,0.0231,1.3764,0.4429,0.4360,89
106,0.0471,0.0022,0.0442,0.0235,1.3689,0.4640,0.4630,89
107,0.0469,0.0021,0.0441,0.0236,1.3486,0.4713,0.4583,89
108,0.0467,0.0021,0.0439,0.0231,1.3354,0.4655,0.4483,89
109,0.0466,0.0021,0.0437,0.0229,1.3851,0.4150,0.4153,90
110,0.0472,0.0021,0.0443,0.0239,1.4245,0.4194,0.4225,89
111,0.0466,0.0021,0.0437,0.0230,1.4406,0.4186,0.4067,90
112,0.0443,0.0020,0.0413,0.0198,1.6035,0.3448,0.3342,89
113,0.0413,0.0020,0.0383,0.0178,1.5685,0.3708,0.3637,89
114,0.0405,0.0023,0.0373,0.0165,1.5466,0.3894,0.3881,89
115,0.0399,0.0021,0.0369,0.0167,1.5014,0.4115,0.3968,89
116,0.0397,0.0020,0.0368,0.0168,1.4790,0.4112,0.4068,89
117,0.0392,0.0020,0.0364,0.0165,1.4352,0.4248,0.4185,90
118,0.0393,0.0020,0.0364,0.0161,1.4360,0.4220,0.4191,90
119,0.0387,0.0020,0.0359,0.0162,1.3984,0.4588,0.4503,90
120,0.0382,0.0019,0.0355,0.0156,1.4251,0.4286,0.4178,90
121,0.0379,0.0019,0.0350,0.0144,1.5296,0.3793,0.3650,90
122,0.0341,0.0021,0.0309,0.0104,1.6746,0.3425,0.3358,89
123,0.0322,0.0021,0.0292,0.0094,1.5038,0.3900,0.3911,90
124,0.0325,0.0020,0.0296,0.0099,1.5632,0.3783,0.3703,90
125,0.0317,0.0020,0.0288,0.0094,1.5258,0.3666,0.3599,89
126,0.0318,0.0022,0.0287,0.0093,1.5954,0.3570,0.3450,89
127,0.0315,0.0020,0.0286,0.0094,1.5683,0.3772,0.3754,89
128,0.0314,0.0020,0.0284,0.0093,1.5926,0.3490,0.3418,89
129,0.0313,0.0021,0.0283,0.0091,1.5092,0.4007,0.3976,89
130,0.0313,0.0019,0.0284,0.0096,1.5433,0.3809,0.3796,90
131,0.0307,0.0019,0.0278,0.0089,1.5197,0.3974,0.3891,90
132,0.0312,0.0019,0.0282,0.0092,1.5961,0.3574,0.3464,89
133,0.0305,0.0021,0.0275,0.0089,1.4880,0.3949,0.3850,89
134,0.0268,0.0019,0.0237,0.0067,1.6954,0.3226,0.3249,89
135,0.0244,0.0020,0.0212,0.0055,1.6788,0.3385,0.3164,90
136,0.0236,0.0019,0.0207,0.0054,1.5657,0.3952,0.3904,89
137,0.0242,0.0020,0.0212,0.0062,1.6153,0.3336,0.3322,89
138,0.0233,0.0020,0.0204,0.0054,1.5255,0.4021,0.3950,89
139,0.0233,0.0019,0.0203,0.0054,1.5608,0.3749,0.3711,89
140,0.0234,0.0020,0.0205,0.0055,1.5384,0.4004,0.3917,89
141,0.0231,0.0019,0.0202,0.0054,1.5892,0.3632,0.3505,89
142,0.0233,0.0020,0.0203,0.0056,1.5555,0.3619,0.3573,89
143,0.0230,0.0020,0.0200,0.0056,1.5990,0.3789,0.3896,90
144,0.0227,0.0019,0.0198,0.0054,1.5404,0.3861,0.3717,89
145,0.0226,0.0019,0.0197,0.0054,1.5470,0.3671,0.3596,89
146,0.0226,0.0018,0.0198,0.0057,1.6134,0.3539,0.3444,89
147,0.0227,0.0019,0.0199,0.0055,1.5061,0.3792,0.3693,89
148,0.0226,0.0019,0.0198,0.0058,1.5230,0.4050,0.3997,89
149,0.0226,0.0019,0.0198,0.0056,1.4836,0.3923,0.3884,89
150,0.0221,0.0019,0.0194,0.0055,1.3730,0.5020,0.4945,89
151,0.0226,0.0019,0.0197,0.0062,1.5326,0.3930,0.3860,89
152,0.0222,0.0018,0.0195,0.0056,1.5035,0.3728,0.3633,89
153,0.0221,0.0018,0.0193,0.0058,1.5370,0.3672,0.3634,89
154,0.0225,0.0019,0.0197,0.0057,1.4644,0.4040,0.4015,89
155,0.0220,0.0018,0.0192,0.0053,1.4756,0.4082,0.4120,89
156,0.0217,0.0018,0.0191,0.0057,1.3734,0.4566,0.4421,90
157,0.0218,0.0018,0.0191,0.0053,1.4339,0.4089,0.3973,89
158,0.0226,0.0018,0.0197,0.0055,1.6190,0.3542,0.3439,89
