epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
82,0.0493,0.0032,0.0453,0.0246,1.7504,0.3626,0.3582,92
83,0.0456,0.0031,0.0416,0.0198,1.8011,0.3466,0.3461,92
84,0.0433,0.0032,0.0391,0.0171,1.9184,0.3235,0.3222,92
85,0.0429,0.0033,0.0386,0.0161,1.941,0.3115,0.3105,92
86,0.0421,0.0031,0.0381,0.0165,1.8339,0.3404,0.3289,92
87,0.0418,0.0031,0.0378,0.0157,1.7872,0.3388,0.3405,92
88,0.0413,0.0029,0.0375,0.0158,1.7632,0.3898,0.3729,92
89,0.0411,0.0031,0.0372,0.0156,1.6991,0.4413,0.4239,92
90,0.0407,0.0028,0.0372,0.0153,1.5955,0.4139,0.409,92
91,0.0411,0.0028,0.0374,0.0156,1.6735,0.3637,0.3604,92
92,0.041,0.0032,0.0371,0.0156,1.6784,0.3756,0.3606,92
93,0.0411,0.0028,0.0374,0.0159,1.7099,0.3519,0.3515,92
94,0.0405,0.003,0.0368,0.0156,1.6236,0.447,0.4273,92
95,0.0405,0.0027,0.037,0.0156,1.6106,0.4054,0.3892,92
96,0.0398,0.0027,0.0363,0.0148,1.5942,0.4218,0.4067,92
97,0.0404,0.0028,0.0369,0.0153,1.6043,0.4184,0.4159,92
98,0.0406,0.0028,0.0371,0.0154,1.5859,0.4034,0.3986,92
99,0.0405,0.0028,0.0368,0.0151,1.7076,0.3681,0.3624,92
100,0.0406,0.0029,0.0369,0.0154,1.6507,0.4043,0.3952,92
101,0.0405,0.0027,0.037,0.0158,1.6412,0.3802,0.3697,92
102,0.0401,0.0029,0.0366,0.0155,1.5335,0.4755,0.4675,92
103,0.0402,0.0027,0.0368,0.0156,1.5865,0.4077,0.4018,92
104,0.0397,0.0026,0.0364,0.0155,1.4936,0.4646,0.4503,92
105,0.0393,0.0026,0.0359,0.0148,1.5147,0.4511,0.45,92
106,0.0395,0.0026,0.0361,0.015,1.5407,0.4371,0.4261,92
107,0.0404,0.0027,0.0369,0.0156,1.6372,0.3899,0.3988,92
108,0.04,0.0027,0.0365,0.0156,1.5931,0.4171,0.4047,92
109,0.0394,0.0026,0.036,0.0158,1.5737,0.4135,0.4107,92
110,0.0398,0.0025,0.0366,0.0155,1.4741,0.5049,0.4997,92
111,0.0394,0.0027,0.036,0.0155,1.5244,0.3954,0.3909,92
112,0.0393,0.0026,0.036,0.0153,1.5195,0.4436,0.4453,92
113,0.0393,0.0025,0.0361,0.0155,1.4568,0.4544,0.4545,92
114,0.0391,0.0025,0.0357,0.0151,1.5677,0.3965,0.3893,92
115,0.0394,0.0026,0.0361,0.0156,1.4901,0.4606,0.461,92
116,0.0394,0.0026,0.0362,0.0155,1.4695,0.4391,0.4272,92
117,0.0401,0.0025,0.0367,0.0162,1.5758,0.4052,0.3963,92
118,0.0397,0.0024,0.0364,0.016,1.5417,0.4325,0.4357,92
119,0.0392,0.0025,0.0359,0.0154,1.5177,0.4268,0.4248,92
120,0.039,0.0024,0.0359,0.0154,1.4698,0.4843,0.4733,91
121,0.039,0.0024,0.0358,0.0155,1.531,0.3969,0.4023,92
122,0.0391,0.0023,0.036,0.0161,1.4724,0.4336,0.4343,92
123,0.0395,0.0027,0.036,0.0159,1.5733,0.3988,0.3897,92
124,0.0388,0.0024,0.0356,0.0155,1.525,0.4269,0.4201,92
125,0.039,0.0024,0.0359,0.0158,1.5025,0.4367,0.4336,91
126,0.0391,0.0023,0.0359,0.0159,1.5465,0.424,0.4135,92
127,0.0387,0.0022,0.0357,0.0155,1.4948,0.4329,0.4442,92
128,0.0388,0.0023,0.0356,0.0153,1.5316,0.4265,0.4153,91
129,0.0393,0.0023,0.0361,0.0159,1.5484,0.418,0.4199,92
130,0.0389,0.0023,0.0358,0.0153,1.4426,0.5144,0.5099,91
131,0.0381,0.0023,0.035,0.015,1.4367,0.4361,0.438,91
132,0.0378,0.0023,0.0347,0.0142,1.5442,0.4075,0.3944,91
133,0.0341,0.0024,0.0308,0.0089,1.6506,0.3421,0.3333,92
134,0.0332,0.0026,0.0297,0.0082,1.6465,0.3837,0.3865,91
135,0.0323,0.0024,0.0289,0.0078,1.6401,0.3806,0.3729,92
136,0.0317,0.0025,0.0284,0.0073,1.5348,0.4363,0.4288,91
137,0.0315,0.0025,0.0282,0.0075,1.563,0.4293,0.4188,92
138,0.0317,0.0022,0.0286,0.0078,1.5602,0.4018,0.391,91
