epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
81,0.1091,0.0059,0.1025,0.1204,2.5015,0.1721,0.1689,71
82,0.1083,0.0058,0.1017,0.1199,2.5544,0.1575,0.1560,71
83,0.1088,0.0057,0.1023,0.1203,2.5083,0.1793,0.1765,71
84,0.1083,0.0058,0.1018,0.1195,2.4431,0.2075,0.2062,71
85,0.1071,0.0053,0.1012,0.1192,2.2533,0.2361,0.2316,71
86,0.1074,0.0054,0.1013,0.1193,2.3524,0.2003,0.1938,71
87,0.1075,0.0056,0.1011,0.1198,2.4434,0.1703,0.1717,71
88,0.1066,0.0054,0.1004,0.1179,2.4108,0.1997,0.2005,71
89,0.1072,0.0052,0.1012,0.1195,2.3686,0.2137,0.2077,71
90,0.1067,0.0052,0.1007,0.1185,2.3627,0.2100,0.2025,71
91,0.1070,0.0053,0.1010,0.1196,2.3521,0.2277,0.2215,71
92,0.1068,0.0049,0.1010,0.1198,2.4097,0.1973,0.1967,71
93,0.1060,0.0050,0.1002,0.1186,2.3550,0.2092,0.2076,71
94,0.1063,0.0049,0.1005,0.1191,2.3711,0.2198,0.2128,71
95,0.1059,0.0051,0.1000,0.1181,2.3245,0.2412,0.2335,71
96,0.1056,0.0049,0.0998,0.1183,2.3785,0.1926,0.1860,71
97,0.1063,0.0048,0.1005,0.1188,2.4203,0.2022,0.2023,71
98,0.1058,0.0048,0.1001,0.1189,2.3913,0.2177,0.2124,71
99,0.1055,0.0050,0.0996,0.1183,2.4154,0.2047,0.2079,71
100,0.1059,0.0048,0.1003,0.1195,2.3469,0.2217,0.2216,71
101,0.1054,0.0047,0.0997,0.1186,2.3498,0.2138,0.2028,71
102,0.1053,0.0047,0.0996,0.1184,2.4187,0.1919,0.1930,71
103,0.1052,0.0047,0.0996,0.1188,2.3036,0.2240,0.2212,71
104,0.1053,0.0045,0.0997,0.1191,2.4555,0.1841,0.1778,71
105,0.1055,0.0047,0.1000,0.1202,2.2523,0.2443,0.2416,71
106,0.1046,0.0046,0.0990,0.1178,2.3639,0.2069,0.1962,71
107,0.1050,0.0048,0.0992,0.1188,2.5130,0.1925,0.1958,71
108,0.1040,0.0045,0.0984,0.1175,2.3919,0.1909,0.1867,71
109,0.1045,0.0047,0.0989,0.1189,2.3201,0.2228,0.2175,71
110,0.1050,0.0046,0.0994,0.1192,2.4512,0.1908,0.1867,71
111,0.1045,0.0046,0.0989,0.1189,2.3574,0.2462,0.2577,71
112,0.1043,0.0045,0.0988,0.1187,2.4170,0.2109,0.2021,71
113,0.1043,0.0044,0.0988,0.1199,2.3780,0.1861,0.1844,71
114,0.1046,0.0044,0.0991,0.1187,2.4580,0.2040,0.1918,71
115,0.1038,0.0045,0.0983,0.1184,2.3344,0.2070,0.2043,71
116,0.1036,0.0043,0.0982,0.1189,2.3777,0.1919,0.1839,71
117,0.1041,0.0046,0.0985,0.1190,2.3394,0.2358,0.2211,71
118,0.1039,0.0044,0.0985,0.1189,2.3640,0.2113,0.2170,71
119,0.1038,0.0044,0.0984,0.1190,2.3809,0.2037,0.1986,71
120,0.1027,0.0044,0.0972,0.1163,2.4743,0.1861,0.1779,71
121,0.1000,0.0047,0.0940,0.1092,2.6849,0.1602,0.1571,71
122,0.0988,0.0045,0.0931,0.1083,2.5708,0.1691,0.1622,71
123,0.0982,0.0045,0.0925,0.1068,2.5509,0.1877,0.1826,71
124,0.0976,0.0045,0.0919,0.1070,2.5621,0.1702,0.1695,71
125,0.0983,0.0045,0.0926,0.1079,2.4952,0.2007,0.1972,71
126,0.0976,0.0044,0.0920,0.1070,2.5470,0.1746,0.1661,71
127,0.0981,0.0045,0.0924,0.1075,2.5550,0.1719,0.1743,71
128,0.0979,0.0044,0.0924,0.1082,2.4717,0.2004,0.1970,71
129,0.0967,0.0043,0.0912,0.1055,2.4910,0.1922,0.1891,71
130,0.0975,0.0044,0.0919,0.1070,2.5269,0.1812,0.1708,71
131,0.0970,0.0044,0.0914,0.1064,2.5412,0.1990,0.1910,71
132,0.0968,0.0043,0.0916,0.1071,2.1749,0.2669,0.2715,71
