epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
81,0.1615,0.0047,0.1555,0.2233,2.7320,0.2165,0.2070,210
82,0.1619,0.0049,0.1558,0.2231,2.7321,0.2210,0.2114,210
83,0.1616,0.0047,0.1555,0.2233,2.8043,0.1962,0.1948,210
84,0.1615,0.0047,0.1554,0.2230,2.8277,0.1933,0.1915,210
85,0.1607,0.0046,0.1547,0.2216,2.7999,0.2058,0.2052,210
86,0.1607,0.0045,0.1548,0.2215,2.7998,0.2124,0.2033,210
87,0.1603,0.0045,0.1544,0.2208,2.7713,0.1974,0.1880,210
88,0.1608,0.0046,0.1548,0.2223,2.7842,0.2161,0.2132,210
89,0.1593,0.0048,0.1530,0.2181,2.9621,0.1813,0.1747,210
90,0.1573,0.0048,0.1509,0.2140,3.0434,0.1767,0.1689,210
91,0.1571,0.0048,0.1507,0.2129,3.0023,0.1796,0.1728,210
92,0.1568,0.0048,0.1504,0.2131,2.9962,0.1869,0.1831,209
93,0.1559,0.0046,0.1497,0.2112,3.0117,0.1752,0.1718,210
94,0.1561,0.0048,0.1498,0.2115,2.9580,0.1849,0.1769,210
95,0.1559,0.0047,0.1497,0.2116,2.9701,0.1937,0.1887,209
96,0.1554,0.0047,0.1491,0.2101,2.9405,0.1974,0.1917,210
97,0.1555,0.0046,0.1493,0.2107,3.0146,0.1832,0.1799,210
98,0.1554,0.0047,0.1492,0.2107,2.9989,0.1810,0.1759,209
99,0.1552,0.0046,0.1489,0.2104,2.9977,0.1798,0.1803,209
100,0.1553,0.0046,0.1490,0.2115,3.0449,0.1750,0.1709,209
101,0.1546,0.0047,0.1483,0.2093,2.9860,0.1922,0.1877,209
102,0.1541,0.0047,0.1477,0.2075,3.0618,0.1890,0.1810,209
103,0.1525,0.0048,0.1460,0.2044,3.1469,0.1738,0.1649,209
104,0.1521,0.0049,0.1454,0.2027,3.2388,0.1669,0.1629,209
105,0.1517,0.0050,0.1450,0.2029,3.1636,0.1722,0.1636,209
106,0.1516,0.0049,0.1449,0.2024,3.2416,0.1553,0.1506,209
107,0.1508,0.0049,0.1442,0.2012,3.1783,0.1665,0.1594,210
108,0.1508,0.0050,0.1441,0.2013,3.3037,0.1611,0.1566,209
109,0.1506,0.0049,0.1439,0.2019,3.2952,0.1714,0.1621,209
110,0.1507,0.0051,0.1438,0.2015,3.2897,0.1741,0.1661,209
111,0.1504,0.0050,0.1436,0.2013,3.3347,0.1563,0.1493,209
112,0.1494,0.0049,0.1426,0.1991,3.2749,0.1626,0.1545,209
113,0.1490,0.0050,0.1422,0.1984,3.3326,0.1610,0.1579,209
114,0.1491,0.0048,0.1424,0.1996,3.2371,0.1740,0.1675,209
115,0.1486,0.0048,0.1419,0.1988,3.2826,0.1606,0.1543,209
116,0.1484,0.0049,0.1417,0.1991,3.2895,0.1666,0.1574,209
117,0.1487,0.0048,0.1421,0.1994,3.2891,0.1663,0.1629,209
118,0.1481,0.0048,0.1414,0.1982,3.2960,0.1684,0.1645,209
119,0.1479,0.0048,0.1412,0.1977,3.2702,0.1592,0.1551,209
120,0.1479,0.0048,0.1413,0.1978,3.2320,0.1728,0.1681,209
121,0.1482,0.0048,0.1416,0.1988,3.2593,0.1576,0.1534,209
122,0.1474,0.0047,0.1409,0.1973,3.1917,0.1740,0.1660,209
123,0.1479,0.0048,0.1414,0.1984,3.2297,0.1603,0.1563,209
124,0.1480,0.0047,0.1414,0.1989,3.2503,0.1635,0.1664,209
125,0.1481,0.0048,0.1414,0.1997,3.2981,0.1609,0.1542,209
126,0.1468,0.0046,0.1403,0.1962,3.3023,0.1607,0.1634,209
127,0.1456,0.0048,0.1388,0.1921,3.4756,0.1343,0.1332,209
128,0.1440,0.0051,0.1369,0.1884,3.5939,0.1405,0.1311,209
129,0.1440,0.0050,0.1370,0.1889,3.5338,0.1448,0.1446,209
130,0.1432,0.0052,0.1360,0.1873,3.5434,0.1483,0.1416,209
131,0.1429,0.0048,0.1360,0.1867,3.5385,0.1398,0.1312,209
132,0.1430,0.0050,0.1360,0.1875,3.4970,0.1431,0.1385,209
133,0.1424,0.0048,0.1356,0.1867,3.4492,0.1447,0.1416,209
134,0.1424,0.0049,0.1355,0.1867,3.4823,0.1444,0.1416,209
135,0.1421,0.0048,0.1353,0.1864,3.4406,0.1515,0.1515,209
136,0.1419,0.0049,0.1350,0.1860,3.4433,0.1504,0.1396,209
137,0.1416,0.0047,0.1348,0.1858,3.4677,0.1561,0.1494,209
138,0.1417,0.0047,0.1349,0.1865,3.4736,0.1463,0.1404,209
139,0.1415,0.0047,0.1348,0.1861,3.4290,0.1557,0.1494,209
140,0.1415,0.0047,0.1347,0.1861,3.4548,0.1574,0.1529,209
141,0.1416,0.0047,0.1348,0.1862,3.4934,0.1366,0.1310,209
142,0.1412,0.0047,0.1345,0.1858,3.4186,0.1573,0.1507,209
143,0.1412,0.0047,0.1346,0.1859,3.3971,0.1531,0.1475,209
144,0.1415,0.0047,0.1348,0.1863,3.4300,0.1506,0.1459,209
145,0.1409,0.0046,0.1342,0.1856,3.4576,0.1437,0.1388,209
146,0.1413,0.0046,0.1347,0.1860,3.4067,0.1564,0.1473,209
147,0.1407,0.0046,0.1340,0.1843,3.3998,0.1697,0.1641,209
148,0.1410,0.0047,0.1343,0.1860,3.4295,0.1457,0.1411,209
149,0.1402,0.0046,0.1336,0.1851,3.4318,0.1498,0.1472,209
150,0.1400,0.0047,0.1331,0.1835,3.5536,0.1350,0.1292,209
151,0.1386,0.0049,0.1316,0.1795,3.6015,0.1354,0.1240,209
152,0.1373,0.0050,0.1301,0.1759,3.7474,0.1211,0.1144,209
153,0.1365,0.0050,0.1292,0.1750,3.7539,0.1278,0.1246,209
154,0.1364,0.0050,0.1291,0.1745,3.7690,0.1241,0.1211,209
155,0.1361,0.0050,0.1288,0.1749,3.7495,0.1302,0.1205,209
156,0.1354,0.0051,0.1282,0.1735,3.7063,0.1337,0.1218,209
157,0.1351,0.0050,0.1279,0.1732,3.6689,0.1366,0.1288,209
158,0.1343,0.0049,0.1271,0.1715,3.7204,0.1193,0.1117,209
159,0.1344,0.0049,0.1273,0.1716,3.6824,0.1386,0.1285,209
160,0.1344,0.0050,0.1272,0.1725,3.6938,0.1341,0.1343,209
161,0.1344,0.0048,0.1273,0.1725,3.6763,0.1306,0.1227,209
162,0.1343,0.0048,0.1273,0.1728,3.6781,0.1371,0.1275,209
163,0.1339,0.0049,0.1268,0.1719,3.6677,0.1282,0.1214,209
164,0.1341,0.0050,0.1269,0.1713,3.7433,0.1228,0.1178,209
165,0.1334,0.0049,0.1263,0.1712,3.6844,0.1391,0.1336,209
166,0.1338,0.0048,0.1267,0.1716,3.7118,0.1313,0.1338,209
167,0.1336,0.0048,0.1266,0.1720,3.6755,0.1343,0.1381,209
168,0.1332,0.0047,0.1263,0.1708,3.6194,0.1364,0.1285,209
169,0.1333,0.0047,0.1262,0.1718,3.7714,0.1217,0.1168,209
170,0.1333,0.0049,0.1262,0.1706,3.7113,0.1349,0.1294,209
171,0.1327,0.0049,0.1256,0.1708,3.6901,0.1276,0.1214,209
172,0.1328,0.0049,0.1257,0.1703,3.6595,0.1389,0.1312,209
173,0.1323,0.0047,0.1252,0.1697,3.7392,0.1270,0.1221,209
174,0.1329,0.0047,0.1258,0.1708,3.7255,0.1267,0.1208,209
175,0.1317,0.0047,0.1248,0.1696,3.6537,0.1397,0.1348,209
176,0.1327,0.0047,0.1256,0.1712,3.7214,0.1181,0.1127,209
